signal_date,exec_date,gate_on,qqq_mom_12_1_pct,rs_pass_count,top_n,picks
2015-01-31,2015-02-02,True,21.5161,38,1,EA
2015-02-28,2015-03-02,True,13.1555,35,1,EA
2015-03-31,2015-04-01,True,24.7357,36,1,MNST
2015-04-30,2015-05-01,True,22.1835,42,2,"EA,MNST"
2015-05-31,2015-06-01,True,19.186,38,1,MNST
2015-06-30,2015-07-01,True,18.1743,39,1,REGN
2015-07-31,2015-08-03,True,13.8925,43,2,"BMRN,MNST"
2015-08-31,2015-09-01,True,13.4027,41,2,"BMRN,EA"
2015-09-30,2015-10-01,True,6.4691,46,2,"EA,BMRN"
2015-10-31,2015-11-02,True,1.439,43,2,"NFLX,AMZN"
2015-11-30,2015-12-01,True,8.0598,35,1,NFLX
2015-12-31,2016-01-04,True,11.2095,35,1,NFLX
2016-01-31,2016-02-01,True,11.7632,37,1,TCOM
2016-02-29,2016-03-01,False,-2.9665,0,0,
2016-03-31,2016-04-01,False,-2.1778,0,0,
2016-04-30,2016-05-02,True,2.5541,40,2,"NVDA,META"
2016-05-31,2016-06-01,False,-2.8974,0,0,
2016-06-30,2016-07-01,True,3.9277,42,2,"NVDA,AMZN"
2016-07-31,2016-08-01,False,-2.8669,0,0,
2016-08-31,2016-09-01,True,11.702,42,2,"NVDA,NTES"
2016-09-30,2016-10-03,True,15.4226,40,2,"NVDA,AMAT"
2016-10-31,2016-11-01,True,5.9331,46,2,"NVDA,AMAT"
2016-11-30,2016-12-01,True,3.7577,41,2,"NVDA,AMAT"
2016-12-31,2017-01-03,True,5.8989,47,2,"NVDA,AMAT"
2017-01-31,2017-02-01,True,15.0483,45,2,"NVDA,MU"
2017-02-28,2017-03-01,True,22.8854,38,1,NVDA
2017-03-31,2017-04-03,True,20.0361,37,1,NVDA
2017-04-30,2017-05-01,True,26.5004,34,1,NVDA
2017-05-31,2017-06-01,True,24.509,39,1,NVDA
2017-06-30,2017-07-03,True,32.3771,43,2,"NVDA,MU"
2017-07-31,2017-08-01,True,20.6792,42,2,"NVDA,MU"
2017-08-31,2017-09-01,True,24.2753,45,2,"NVDA,WDC"
2017-09-30,2017-10-02,True,24.1052,40,2,"NVDA,VRTX"
2017-10-31,2017-11-01,True,25.5685,46,2,"NVDA,MU"
2017-11-30,2017-12-01,True,30.7826,40,2,"ALGN,MU"
2017-12-31,2018-01-02,True,31.8682,43,2,"ALGN,TTWO"
2018-01-31,2018-02-01,True,26.1779,41,2,"ALGN,TTWO"
2018-02-28,2018-03-01,True,31.4752,37,1,ALGN
2018-03-31,2018-04-02,True,27.1974,36,1,ALGN
2018-04-30,2018-05-01,True,18.7704,39,1,NVDA
2018-05-31,2018-06-01,True,14.8934,36,1,NFLX
2018-06-30,2018-07-02,True,24.2922,38,1,NFLX
2018-07-31,2018-08-01,True,20.809,31,1,NFLX
2018-08-31,2018-09-04,True,21.6644,35,1,ALGN
2018-09-30,2018-10-01,True,29.0786,31,1,AMZN
2018-10-31,2018-11-01,True,23.047,29,1,NFLX
2018-11-30,2018-12-03,True,10.2955,28,1,NFLX
