signal_date,exec_date,gate_on,rs_pass_count,top_n,picks,top_pct
2015-01-31,2015-02-02,True,74,3,"EA,AAL,MAR",5%
2015-02-28,2015-03-02,True,74,3,"EA,AAPL,MNST",5%
2015-03-31,2015-04-01,True,73,3,"MNST,EA,AAPL",5%
2015-04-30,2015-05-01,True,73,3,"EA,MNST,VRTX",5%
2015-05-31,2015-06-01,True,73,3,"MNST,VRTX,EA",5%
2015-06-30,2015-07-01,True,73,3,"REGN,MNST,EA",5%
2015-07-31,2015-08-03,True,75,3,"BMRN,MNST,EA",5%
2015-08-31,2015-09-01,True,76,3,"BMRN,EA,MNST",5%
2015-09-30,2015-10-01,True,76,3,"EA,BMRN,NFLX",5%
2015-10-31,2015-11-02,True,77,3,"NFLX,AMZN,EA",5%
2015-11-30,2015-12-01,True,77,3,"NFLX,AMZN,TCOM",5%
2015-12-31,2016-01-04,True,76,3,"NFLX,TCOM,AMZN",5%
2016-01-31,2016-02-01,True,76,3,"TCOM,AMZN,NFLX",5%
2016-02-29,2016-03-01,False,0,0,,5%
2016-03-31,2016-04-01,False,0,0,,5%
2016-04-30,2016-05-02,True,78,3,"NVDA,META,AMZN",5%
2016-05-31,2016-06-01,False,0,0,,5%
2016-06-30,2016-07-01,True,79,3,"NVDA,AMZN,ULTA",5%
2016-07-31,2016-08-01,False,0,0,,5%
2016-08-31,2016-09-01,True,82,4,"NVDA,NTES,AMAT,ULTA",5%
2016-09-30,2016-10-03,True,82,4,"NVDA,AMAT,NTES,MAT",5%
2016-10-31,2016-11-01,True,82,4,"NVDA,AMAT,NTES,ISRG",5%
2016-11-30,2016-12-01,True,82,4,"NVDA,AMAT,NTES,ULTA",5%
2016-12-31,2017-01-03,True,84,4,"NVDA,AMAT,CHTR,MCHP",5%
2017-01-31,2017-02-01,True,84,4,"NVDA,MU,AMAT,CHTR",5%
2017-02-28,2017-03-01,True,84,4,"NVDA,MU,CSX,NTES",5%
2017-03-31,2017-04-03,True,84,4,"NVDA,MU,NTES,CSX",5%
2017-04-30,2017-05-01,True,84,4,"NVDA,MU,STX,WDC",5%
2017-05-31,2017-06-01,True,84,4,"NVDA,MU,WDC,STX",5%
2017-06-30,2017-07-03,True,85,4,"NVDA,MU,CSX,ADSK",5%
2017-07-31,2017-08-01,True,85,4,"NVDA,MU,CSX,WDC",5%
2017-08-31,2017-09-01,True,85,4,"NVDA,WDC,NFLX,JD",5%
2017-09-30,2017-10-02,True,85,4,"NVDA,VRTX,MU,NFLX",5%
2017-10-31,2017-11-01,True,85,4,"NVDA,MU,ALGN,VRTX",5%
2017-11-30,2017-12-01,True,85,4,"ALGN,MU,NVDA,LRCX",5%
2017-12-31,2018-01-02,True,87,4,"ALGN,TTWO,VRTX,MU",5%
2018-01-31,2018-02-01,True,87,4,"ALGN,TTWO,PYPL,NVDA",5%
2018-02-28,2018-03-01,True,87,4,"ALGN,NVDA,TTWO,PYPL",5%
2018-03-31,2018-04-02,True,87,4,"ALGN,NVDA,NFLX,TTWO",5%
2018-04-30,2018-05-01,True,87,4,"NVDA,NFLX,MU,ALGN",5%
2018-05-31,2018-06-01,True,87,4,"NFLX,ALGN,AMZN,ADBE",5%
2018-06-30,2018-07-02,True,87,4,"NFLX,ALGN,MU,ADBE",5%
2018-07-31,2018-08-01,True,88,4,"NFLX,ALGN,MU,STX",5%
2018-08-31,2018-09-04,True,88,4,"ALGN,NFLX,AMZN,STX",5%
2018-09-30,2018-10-01,True,88,4,"AMZN,ALGN,NFLX,ILMN",5%
2018-10-31,2018-11-01,True,88,4,"NFLX,AMZN,ILMN,ORLY",5%
2018-11-30,2018-12-03,True,89,4,"NFLX,ESRX,AMZN,ORLY",5%
2018-12-31,2019-01-02,True,90,4,"AMD,LULU,WDAY,ILMN",5%
2019-01-31,2019-02-01,False,0,0,,5%
2019-02-28,2019-03-01,True,90,4,"AMD,LULU,VRSN,ULTA",5%
2019-03-31,2019-04-01,True,90,4,"AMD,LULU,WDAY,CDNS",5%
2019-04-30,2019-05-01,True,90,4,"AMD,LULU,CDNS,VRSN",5%
2019-05-31,2019-06-03,True,90,4,"AMD,LULU,MELI,CDNS",5%
